step,loss,E_pred,nu_pred,grad_E,grad_nu,elapsed_time
0,2108094.5,39999.98828125,0.440000057220459,103.56560516357422,77485664.0,3.997156858444214
200,9106.0068359375,39999.87890625,0.37019839882850647,-0.06382648646831512,-153600.578125,33.1681923866272
400,1909.170166015625,39999.87890625,0.39035555720329285,0.06488411128520966,26398.80078125,27.151114225387573
600,1521.9732666015625,39999.87890625,0.38516151905059814,0.0577542707324028,-4401.943359375,27.252402544021606
800,1382.036865234375,39999.87890625,0.3803853690624237,0.051387179642915726,-781.6484985351562,27.329333066940308
1000,1268.1004638671875,39999.87890625,0.37657737731933594,0.0523410327732563,-24441.6796875,28.20764923095703
1200,1161.081787109375,39999.87890625,0.37375009059906006,0.04851198568940163,-10021.07421875,28.54288101196289
1400,989.8306274414062,39999.87890625,0.3717823922634125,0.041661448776721954,-13336.1767578125,28.697351694107056
1600,842.87255859375,39999.87890625,0.3703441023826599,0.03951724246144295,-88689.875,28.347350358963013
1800,761.051513671875,39999.87890625,0.36937928199768066,0.03463632985949516,11766.203125,30.368021965026855
2000,670.8209838867188,39999.87890625,0.3685884475708008,0.016451086848974228,81981.0078125,28.027087926864624
2200,819.8240356445312,39999.87890625,0.3681396245956421,0.033569253981113434,-100697.7265625,28.675904750823975
2400,548.900390625,39999.87890625,0.3681372404098511,0.030670378357172012,-141807.984375,28.178730726242065
2600,571.9666748046875,39999.87890625,0.367859423160553,0.009809219278395176,178496.390625,28.32437801361084
2800,616.42236328125,39999.87890625,0.3677818477153778,0.008129080757498741,209657.765625,28.18161940574646
3000,498.894775390625,39999.87890625,0.36826610565185547,0.013988235965371132,121842.4921875,28.53291392326355
3200,451.4663391113281,39999.87890625,0.3688027560710907,0.028829971328377724,-161338.671875,28.418829679489136
3400,840.7172241210938,39999.87890625,0.3686683475971222,0.03324146941304207,-273347.15625,27.486189126968384
3600,5739.61474609375,39997.94140625,0.3595793843269348,0.19539611041545868,506297.9375,27.559239149093628
3800,47600.1484375,39995.890625,0.34601420164108276,1.8616780042648315,1726143.0,27.3403000831604
4000,17497.0859375,39993.57421875,0.356620192527771,0.8584328889846802,91536.921875,27.532297372817993
4200,15092.119140625,39991.6953125,0.35238951444625854,0.7031355500221252,-283473.71875,28.163166522979736
4400,21002.212890625,39990.33984375,0.3515949547290802,0.9404265284538269,181465.921875,28.9537832736969
4600,5497.64453125,39988.91796875,0.35118502378463745,0.247106671333313,-326541.875,29.349965572357178
4800,25056.79296875,39987.41015625,0.34888219833374023,1.1573865413665771,-151375.578125,29.200605392456055
5000,13554.908203125,39986.109375,0.3485507667064667,0.6216103434562683,-79787.8359375,29.364545106887817
5200,11774.6630859375,39984.5390625,0.3507978618144989,0.5488669872283936,6157.06298828125,28.817681789398193
5400,4627.24365234375,39983.7109375,0.35109367966651917,0.23276197910308838,-44702.27734375,28.417762756347656
5600,15371.0595703125,39981.96484375,0.3504985272884369,0.7034552097320557,359625.0625,28.49800705909729
5800,22064.36328125,39979.8828125,0.3497239649295807,0.9975666403770447,232980.84375,28.435791492462158
6000,16159.1982421875,39978.09765625,0.3490852415561676,0.7196964025497437,-167402.546875,28.47473931312561
6200,9423.236328125,39975.98828125,0.3485758304595947,0.39012956619262695,2622572.75,28.26179575920105
6400,21540.34765625,39974.421875,0.3470008075237274,1.0245835781097412,39415.62109375,28.39738893508911
6600,18457.177734375,39972.65625,0.346828430891037,0.883003830909729,-141813.484375,28.29788637161255
6800,10775.330078125,39970.5,0.35063380002975464,0.5066608786582947,-28496.744140625,28.330869674682617
7000,16196.3671875,39969.36328125,0.34833917021751404,0.7464795112609863,-37928.21484375,28.38080620765686
7200,17411.05859375,39967.53515625,0.3479911684989929,0.7789510488510132,114076.5703125,28.157355070114136
7400,15497.1923828125,39965.7734375,0.34676888585090637,0.7008295059204102,578711.125,28.600115299224854
7600,4902.18603515625,39964.20703125,0.3484092652797699,0.22021135687828064,81071.171875,28.973923921585083
7800,13190.0166015625,39961.421875,0.3478013873100281,0.6271174550056458,1583393.25,28.88835072517395
8000,17312.884765625,39960.08984375,0.34751540422439575,0.8285052180290222,-111500.75,28.974385738372803
8200,22595.76171875,39958.0390625,0.34817683696746826,1.047318935394287,147345.421875,28.952300786972046
8400,13539.8203125,39955.98828125,0.3476029634475708,0.6288594603538513,-106854.2265625,28.49418878555298
8600,15947.7861328125,39954.10546875,0.3506174385547638,0.7263360023498535,-239154.90625,28.88365340232849
8800,8658.0947265625,39952.91796875,0.3471091687679291,0.42006194591522217,137525.265625,28.1926212310791
9000,10027.6953125,39950.41015625,0.34869149327278137,0.47246840596199036,48766.15625,27.738977432250977
9200,15528.474609375,39948.78125,0.3483320474624634,0.7325201034545898,-298001.09375,27.572834968566895
9400,25224.98046875,39947.58203125,0.3443892300128937,1.1998859643936157,222807.78125,27.567105054855347
9600,63462.171875,39945.484375,0.34243887662887573,3.029890775680542,636622.4375,27.489165544509888
9800,22446.482421875,39943.828125,0.34755977988243103,1.035935640335083,39438.58984375,26.673221588134766
10000,9045.4716796875,39942.23046875,0.3478955924510956,0.43594175577163696,-76700.359375,26.428797006607056
