iteration,step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,0,2.672857266121625,35820.49665751459,7407.5368229992855,0.26728572661216254,60000.0,0.25
0,500,0.03807205057543617,7288178.574610954,5981593.0106875785,0.0038072050575436167,60000.0,0.25
1,0,0.03791987042520576,7061638.8519498445,6089955.145981196,0.0037919870425205766,60000.0,0.25
1,500,0.0011327903735645166,3370526.530188812,17819475.52590064,0.00011327903735645167,60000.0,0.25
2,0,0.0011295739544244197,3240533.9937472437,17934516.09162429,0.00011295739544244198,60000.0,0.25
2,500,0.00061382004789378,3179436.819146971,19386114.352921978,6.138200478937802e-05,60000.0,0.25
3,0,0.0006129737794621793,3095018.8726289864,19144188.01925119,6.129737794621793e-05,60000.0,0.25
3,500,0.00045251548004818486,3157175.2447155546,19636659.750122707,4.525154800481849e-05,60000.0,0.25
4,0,0.00045217943165657386,2863187.866191211,19680200.75613996,4.521794316565739e-05,60000.0,0.25
4,500,0.0003621253350692618,2925423.54582351,20088791.638884228,3.621253350692619e-05,60000.0,0.25
