step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred,w_pde,w_bc,w_data
0,29415.927935149473,287766.20782618946,6391.333957783174,0.17375675220932618,50000.0,0.25,0.1,0.1,1.0
200,78.17463982462657,509.0706578536377,270.5139549832693,0.21617854093585576,50000.0,0.25,0.1,0.1,1.0
400,33.44382603053585,297.22900879403346,35.072090436982855,0.2137161074342207,50000.0,0.25,0.1,0.1,1.0
600,20.720902900288596,187.14829541119573,17.997069387366437,0.2063664204323771,50000.0,0.25,0.1,0.1,1.0
800,14.272725614431755,128.6723182876542,12.051982689631005,0.20029551670323245,50000.0,0.25,0.1,0.1,1.0
1000,10.478850599862852,94.51892087324846,8.318143324227982,0.19514418011520732,50000.0,0.25,0.1,0.1,1.0
1200,8.048707111206717,72.67861285523428,5.903697828112425,0.19047604287204647,50000.0,0.25,0.1,0.1,1.0
1400,6.378116256053958,57.564708201025546,4.355903383589522,0.18605509759245126,50000.0,0.25,0.1,0.1,1.0
1600,5.168361984866813,46.50594621141158,3.3600671522048415,0.18176064850517065,50000.0,0.25,0.1,0.1,1.0
1800,4.262970925340054,38.14498596148578,2.7093504976375784,0.17753727942771774,50000.0,0.25,0.1,0.1,1.0
2000,3.5709897409357643,31.7059695323759,2.270255570356705,0.17336723066250362,50000.0,0.25,0.1,0.1,1.0
2200,3.034007262144031,26.68912842542069,1.9584115302493676,0.16925326657702475,50000.0,0.25,0.1,0.1,1.0
2400,2.611945885710771,22.744372624708397,1.7230185069477186,0.1652067725451594,50000.0,0.25,0.1,0.1,1.0
2600,2.2761077035774537,19.6134187096309,1.5352630235869493,0.16123953025566884,50000.0,0.25,0.1,0.1,1.0
2800,2.0053233013554843,17.100238093063165,1.3794070445780384,0.15735878759136396,50000.0,0.25,0.1,0.1,1.0
3000,1.783723642780614,15.054870737256111,1.2467108584385271,0.1535654832111501,50000.0,0.25,0.1,0.1,1.0
3200,1.5993886114911509,13.363399095177725,1.1319360403343863,0.1498550979399396,50000.0,0.25,0.1,0.1,1.0
3400,1.4434201716097816,11.940361680085793,1.0316395357173032,0.14622005002947203,50000.0,0.25,0.1,0.1,1.0
3600,1.309222267544305,10.722262757639301,0.9434358311271313,0.14265240866766177,50000.0,0.25,0.1,0.1,1.0
3800,1.1919273035503226,9.662149404157676,0.8656632096689009,0.13914604216766485,50000.0,0.25,0.1,0.1,1.0
4000,1.0879649514075613,8.725506519639854,0.7971647469045829,0.13569782475311767,50000.0,0.25,0.1,0.1,1.0
4200,0.9947576802491013,7.887416435479279,0.7370811749798056,0.1323079192031927,50000.0,0.25,0.1,0.1,1.0
4400,0.9105016110988822,7.130568985563474,0.6846535019519645,0.12897936234733826,50000.0,0.25,0.1,0.1,1.0
4600,0.8339847261191626,6.44360287512727,0.6390718207217352,0.12571725653426213,50000.0,0.25,0.1,0.1,1.0
4800,0.7644123730239715,5.819442434783875,0.5994026475258114,0.12252786479300282,50000.0,0.25,0.1,0.1,1.0
5000,0.7012383131535492,5.25360436160027,0.5646003317038775,0.11941784382313449,50000.0,0.25,0.1,0.1,1.0
5200,0.6440199549814566,4.742682482517039,0.5335796046690718,0.11639374626284549,50000.0,0.25,0.1,0.1,1.0
5400,0.5953004902120014,4.311648082058927,0.5060973946100361,0.11352594254510506,50000.0,0.25,0.1,0.1,1.0
5600,0.5515082539893271,3.9267363264065547,0.4806623727571318,0.11076838407295846,50000.0,0.25,0.1,0.1,1.0
5800,0.5141242707767246,3.602640991829213,0.45703094559173796,0.10815707703462944,50000.0,0.25,0.1,0.1,1.0
6000,0.48066511570340403,3.3148363574153636,0.4349211085915359,0.10568936910271406,50000.0,0.25,0.1,0.1,1.0
6200,0.45161126774368576,3.0684546954151837,0.41390736593394595,0.10337506160877281,50000.0,0.25,0.1,0.1,1.0
6400,0.7547875400482337,6.09664555219108,0.43922244806174043,0.1012007400229516,50000.0,0.25,0.1,0.1,1.0
6600,0.40200527376364187,2.6531890992993303,0.3747631704287572,0.0992100467908331,50000.0,0.25,0.1,0.1,1.0
6800,0.3807062401219058,2.477230710813556,0.3564491744467998,0.09733825159587019,50000.0,0.25,0.1,0.1,1.0
7000,0.36123115654638127,2.3170620691555444,0.3391654593643331,0.09560840369439351,50000.0,0.25,0.1,0.1,1.0
7200,0.34358097417195244,2.1732289852379356,0.322517882869977,0.09400628736116118,50000.0,0.25,0.1,0.1,1.0
7400,0.33466166796727315,2.1139860430121353,0.3074138566180347,0.09252167800425612,50000.0,0.25,0.1,0.1,1.0
7600,0.31281935276993383,1.9239694946453052,0.29259623203172785,0.09116278010223053,50000.0,0.25,0.1,0.1,1.0
7800,0.2996275085014329,1.8176888699339007,0.2794240569774301,0.0899162158102998,50000.0,0.25,0.1,0.1,1.0
8000,0.2878400978716808,1.7233078315493306,0.26739819909296647,0.08876949480745107,50000.0,0.25,0.1,0.1,1.0
